Participant: ,Default, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:32:03.124,0,0,0
2024-03-13 19:32:03.130,0,0,0
2024-03-13 19:32:03.138,0,0,0
2024-03-13 19:32:03.144,0,0,0
2024-03-13 19:32:03.148,0,0,0
2024-03-13 19:32:03.152,0,0,0
2024-03-13 19:32:03.155,0,0,0
2024-03-13 19:32:03.159,0,0,0
2024-03-13 19:32:03.162,0,0,0
2024-03-13 19:32:03.166,0,0,0
2024-03-13 19:32:03.168,0,0,0
2024-03-13 19:32:03.171,0,0,0
2024-03-13 19:32:03.175,0,0,0
2024-03-13 19:32:03.179,0,0,0
2024-03-13 19:32:03.182,0,0,0
2024-03-13 19:32:03.186,0,0,0
2024-03-13 19:32:03.191,0,0,0
2024-03-13 19:32:03.193,0,0,0
2024-03-13 19:32:03.197,0,0,0
2024-03-13 19:32:03.199,0,0,0
2024-03-13 19:32:03.202,0,0,0
2024-03-13 19:32:03.206,0,0,0
2024-03-13 19:32:03.210,0,0,0
2024-03-13 19:32:03.213,0,0,0
2024-03-13 19:32:03.215,0,0,0
2024-03-13 19:32:03.218,0,0,0
2024-03-13 19:32:03.222,0,0,0
2024-03-13 19:32:03.225,0,0,0
2024-03-13 19:32:03.228,0,0,0
2024-03-13 19:32:03.231,0,0,0
2024-03-13 19:32:03.234,0,0,0
2024-03-13 19:32:03.237,0,0,0
2024-03-13 19:32:03.241,0,0,0
2024-03-13 19:32:03.244,0,0,0
2024-03-13 19:32:03.247,0,0,0
2024-03-13 19:32:03.249,0,0,0
2024-03-13 19:32:03.253,0,0,0
2024-03-13 19:32:03.256,0,0,0
2024-03-13 19:32:03.258,0,0,0
2024-03-13 19:32:03.261,0,0,0
2024-03-13 19:32:03.264,0,0,0
2024-03-13 19:32:03.267,0,0,0
2024-03-13 19:32:03.270,0,0,0
2024-03-13 19:32:03.273,0,0,0
2024-03-13 19:32:03.275,0,0,0
2024-03-13 19:32:03.278,0,0,0
2024-03-13 19:32:03.282,0,0,0
2024-03-13 19:32:03.285,0,0,0
2024-03-13 19:32:03.287,0,0,0
2024-03-13 19:32:03.289,0,0,0
2024-03-13 19:32:03.293,0,0,0
2024-03-13 19:32:03.295,0,0,0
2024-03-13 19:32:03.298,0,0,0
2024-03-13 19:32:03.300,0,0,0
2024-03-13 19:32:03.304,0,0,0
2024-03-13 19:32:03.307,0,0,0
2024-03-13 19:32:03.310,0,0,0
2024-03-13 19:32:03.314,0,0,0
2024-03-13 19:32:03.317,0,0,0
2024-03-13 19:32:03.319,0,0,0
2024-03-13 19:32:03.321,0,0,0
2024-03-13 19:32:03.324,0,0,0
2024-03-13 19:32:03.326,0,0,0
2024-03-13 19:32:03.329,0,0,0
2024-03-13 19:32:03.332,0,0,0
2024-03-13 19:32:03.334,0,0,0
2024-03-13 19:32:03.338,0,0,0
2024-03-13 19:32:03.341,0,0,0
2024-03-13 19:32:03.344,0,0,0
2024-03-13 19:32:03.347,0,0,0
2024-03-13 19:32:03.350,0,0,0
2024-03-13 19:32:03.353,0,0,0
2024-03-13 19:32:03.356,0,0,0
2024-03-13 19:32:03.358,0,0,0
2024-03-13 19:32:03.361,0,0,0
2024-03-13 19:32:03.363,0,0,0
2024-03-13 19:32:03.365,0,0,0
2024-03-13 19:32:03.367,0,0,0
2024-03-13 19:32:03.370,0,0,0
2024-03-13 19:32:03.373,0,0,0
2024-03-13 19:32:03.376,0,0,0
2024-03-13 19:32:03.379,0,0,0
2024-03-13 19:32:03.382,0,0,0
2024-03-13 19:32:03.385,0,0,0
2024-03-13 19:32:03.388,0,0,0
2024-03-13 19:32:03.391,0,0,0
2024-03-13 19:32:03.394,0,0,0
2024-03-13 19:32:03.396,0,0,0
2024-03-13 19:32:03.400,0,0,0
2024-03-13 19:32:03.403,0,0,0
2024-03-13 19:32:03.407,0,0,0
2024-03-13 19:32:03.409,0,0,0
2024-03-13 19:32:03.411,0,0,0
2024-03-13 19:32:03.414,0,0,0
2024-03-13 19:32:03.417,0,0,0
2024-03-13 19:32:03.419,0,0,0
2024-03-13 19:32:03.423,0,0,0
2024-03-13 19:32:03.426,0,0,0
2024-03-13 19:32:03.427,0,0,0
2024-03-13 19:32:03.431,0,0,0
2024-03-13 19:32:03.433,0,0,0
2024-03-13 19:32:03.437,0,0,0
2024-03-13 19:32:03.440,0,0,0
2024-03-13 19:32:03.443,0,0,0
2024-03-13 19:32:03.445,0,0,0
2024-03-13 19:32:03.448,0,0,0
2024-03-13 19:32:03.450,0,0,0
2024-03-13 19:32:03.453,0,0,0
2024-03-13 19:32:03.455,0,0,0
2024-03-13 19:32:03.458,0,0,0
2024-03-13 19:32:03.460,0,0,0
2024-03-13 19:32:03.463,0,0,0
2024-03-13 19:32:03.465,0,0,0
2024-03-13 19:32:03.469,0,0,0
2024-03-13 19:32:03.471,0,0,0
2024-03-13 19:32:03.474,0,0,0
2024-03-13 19:32:03.477,0,0,0
2024-03-13 19:32:03.481,0,0,0
2024-03-13 19:32:03.484,0,0,0
2024-03-13 19:32:03.488,0,0,0
2024-03-13 19:32:03.490,0,0,0
2024-03-13 19:32:03.493,0,0,0
2024-03-13 19:32:03.495,0,0,0
2024-03-13 19:32:03.498,0,0,0
2024-03-13 19:32:03.501,0,0,0
2024-03-13 19:32:03.505,0,0,0
2024-03-13 19:32:03.509,0,0,0
2024-03-13 19:32:03.512,0,0,0
2024-03-13 19:32:03.514,0,0,0
2024-03-13 19:32:03.518,0,0,0
2024-03-13 19:32:03.523,0,0,0
2024-03-13 19:32:03.532,0,0,0
2024-03-13 19:32:03.536,0,0,0
2024-03-13 19:32:03.539,0,0,0
2024-03-13 19:32:03.542,0,0,0
2024-03-13 19:32:03.546,0,0,0
2024-03-13 19:32:03.550,0,0,0
2024-03-13 19:32:03.552,0,0,0
2024-03-13 19:32:03.554,0,0,0
2024-03-13 19:32:03.557,0,0,0
2024-03-13 19:32:03.560,0,0,0
2024-03-13 19:32:03.564,0,0,0
2024-03-13 19:32:03.566,0,0,0
2024-03-13 19:32:03.570,0,0,0
2024-03-13 19:32:03.572,0,0,0
2024-03-13 19:32:03.575,0,0,0
2024-03-13 19:32:03.579,0,0,0
2024-03-13 19:32:03.581,0,0,0
2024-03-13 19:32:03.586,0,0,0
2024-03-13 19:32:03.589,0,0,0
2024-03-13 19:32:03.591,0,0,0
2024-03-13 19:32:03.594,0,0,0
2024-03-13 19:32:03.597,0,0,0
2024-03-13 19:32:03.599,0,0,0
2024-03-13 19:32:03.603,0,0,0
2024-03-13 19:32:03.606,0,0,0
2024-03-13 19:32:03.610,0,0,0
