Participant(Audio Folder): ,Participant02
Video Folder:,_Germany_
Audio Order
01,
02,
03,
04,
05,
06,
07,
08,
09,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
Time,Millisecond,VideoClip,AudioClip,Headrotation X,Headrotation Y,Headrotation Z
10:18:42,42,Not play video,Not play audio,-0.1282098,0.03849682,0.007037271
10:18:42,56,Not play video,Not play audio,-0.1281739,0.03826081,0.006928944
10:18:42,83,Not play video,Not play audio,-0.1277451,0.0380191,0.006445022
10:18:42,97,Not play video,Not play audio,-0.1275142,0.03803777,0.006270274
10:18:42,124,Not play video,Not play audio,-0.1273867,0.03809737,0.006396595
10:18:42,138,Not play video,Not play audio,-0.1274377,0.03810872,0.00645387
10:18:42,151,Not play video,Not play audio,-0.1273108,0.03822278,0.006407992
10:18:42,179,Not play video,Not play audio,-0.1268471,0.0385936,0.006321521
10:18:42,193,Not play video,Not play audio,-0.1268019,0.03875906,0.0064678
10:18:42,221,Not play video,Not play audio,-0.127136,0.0391569,0.006650434
10:18:42,234,Not play video,Not play audio,-0.1274376,0.03943928,0.006597318
10:18:42,261,Not play video,Not play audio,-0.1283322,0.04010691,0.006561068
10:18:42,276,Not play video,Not play audio,-0.1288697,0.04028071,0.006797792
10:18:42,304,Not play video,Not play audio,-0.1298333,0.04050466,0.006962324
10:18:42,317,Not play video,Not play audio,-0.1300307,0.04071431,0.00674512
10:18:42,345,Not play video,Not play audio,-0.130709,0.04084303,0.006848341
10:18:42,358,Not play video,Not play audio,-0.1311106,0.04089592,0.006972639
10:18:42,373,Not play video,Not play audio,-0.131319,0.04097644,0.006874432
10:18:42,401,Not play video,Not play audio,-0.1315138,0.04109928,0.00672373
10:18:42,415,Not play video,Not play audio,-0.131396,0.04112758,0.006687256
10:18:42,443,Not play video,Not play audio,-0.1316614,0.04136199,0.006550056
10:18:42,456,Not play video,Not play audio,-0.1319756,0.04152806,0.006829107
10:18:42,484,Not play video,Not play audio,-0.1332243,0.04173087,0.007164212
10:18:42,499,Not play video,Not play audio,-0.1337823,0.04182815,0.007132777
10:18:42,512,Not play video,Not play audio,-0.1340963,0.04185066,0.007254769
10:18:42,540,Not play video,Not play audio,-0.1350979,0.04189678,0.007453359
10:18:42,554,Not play video,Not play audio,-0.1354621,0.04200285,0.007364719
10:18:42,582,Not play video,Not play audio,-0.136179,0.04226349,0.007172129
10:18:42,596,Not play video,Not play audio,-0.1366964,0.0423061,0.007209986
10:18:42,624,Not play video,Not play audio,-0.1386409,0.0427246,0.007435224
10:18:42,638,Not play video,Not play audio,-0.1397396,0.04293652,0.007512328
10:18:42,665,Not play video,Not play audio,-0.1415922,0.04322249,0.007524437
10:18:42,679,Not play video,Not play audio,-0.1426289,0.04340563,0.007756907
10:18:42,693,Not play video,Not play audio,-0.1435449,0.04357847,0.00778182
10:18:42,721,Not play video,Not play audio,-0.1443709,0.04418935,0.007484493
10:18:42,735,Not play video,Not play audio,-0.1444323,0.04448626,0.007681969
10:18:42,762,Not play video,Not play audio,-0.1439248,0.04427923,0.00774931
10:18:42,776,Not play video,Not play audio,-0.1437087,0.04436529,0.00774589
10:18:42,804,Not play video,Not play audio,-0.1428036,0.04427949,0.007589232
10:18:42,817,Not play video,Not play audio,-0.1425684,0.0444093,0.007490358
10:18:42,832,Not play video,Not play audio,-0.1424017,0.04444883,0.007418927
10:18:42,860,Not play video,Not play audio,-0.1425685,0.04461296,0.007309888
10:18:42,874,Not play video,Not play audio,-0.1426234,0.04474433,0.007140446
10:18:42,901,Not play video,Not play audio,-0.1427292,0.04490732,0.006971411
10:18:42,915,Not play video,Not play audio,-0.1428199,0.04498045,0.006984828
10:18:42,943,Not play video,Not play audio,-0.1434648,0.04498046,0.0070313
10:18:42,957,Not play video,Not play audio,-0.1435355,0.04509779,0.007111809
10:18:42,984,Not play video,Not play audio,-0.1439506,0.04497433,0.008240838
10:18:42,999,Not play video,Not play audio,-0.1444654,0.04482429,0.008819052
10:18:43,12,Not play video,Not play audio,-0.1446994,0.0446322,0.009180746
10:18:43,40,Not play video,Not play audio,-0.1449178,0.04418217,0.009516009
10:18:43,54,Not play video,Not play audio,-0.1451271,0.04389153,0.009941636
10:18:43,81,Not play video,Not play audio,-0.145573,0.04315874,0.01062605
10:18:43,96,Not play video,Not play audio,-0.1458564,0.04260943,0.01104363
10:18:43,124,Not play video,Not play audio,-0.1466867,0.04115523,0.01230568
10:18:43,137,Not play video,Not play audio,-0.1471419,0.04021431,0.01268183
10:18:43,151,Not play video,Not play audio,-0.1479913,0.03957482,0.01294114
10:18:43,179,Not play video,Not play audio,-0.1488654,0.03875092,0.0130313
10:18:43,193,Not play video,Not play audio,-0.1490909,0.03830202,0.01369118
10:18:43,221,Not play video,Not play audio,-0.1494691,0.03715832,0.01560007
10:18:43,234,Not play video,Not play audio,-0.1495113,0.03639402,0.01694003
10:18:43,262,Not play video,Not play audio,-0.1490634,0.03364892,0.01977907
10:18:43,276,Not play video,Not play audio,-0.1482449,0.03204142,0.02102604
10:18:43,304,Not play video,Not play audio,-0.1450668,0.02839228,0.02345466
10:18:43,318,Not play video,Not play audio,-0.1427135,0.02665872,0.02418964
10:18:43,346,Not play video,Not play audio,-0.1342569,0.02344251,0.02356349
10:18:43,359,Not play video,Not play audio,-0.129548,0.02219593,0.02232214
10:18:43,373,Not play video,Not play audio,-0.1246157,0.02129153,0.02065386
10:18:43,401,Not play video,Not play audio,-0.1148705,0.01992575,0.01729983
10:18:43,415,Not play video,Not play audio,-0.1101473,0.01975403,0.01557769
10:18:43,442,Not play video,Not play audio,-0.1011515,0.01983444,0.0134322
10:18:43,456,Not play video,Not play audio,-0.09647804,0.02007853,0.01217189
10:18:43,485,Not play video,Not play audio,-0.0861957,0.02214231,0.009972988
10:18:43,498,Not play video,Not play audio,-0.08087877,0.02303731,0.008956572
10:18:43,512,Not play video,Not play audio,-0.07642154,0.02438946,0.008717442
10:18:43,540,Not play video,Not play audio,-0.06957766,0.02696464,0.008358094
10:18:43,554,Not play video,Not play audio,-0.06782775,0.02816942,0.00896916
10:18:43,582,Not play video,Not play audio,-0.06537984,0.02986409,0.01097769
10:18:43,596,Not play video,Not play audio,-0.06503972,0.03033417,0.01229838
10:18:43,623,Not play video,Not play audio,-0.06716843,0.02904136,0.0167308
10:18:43,638,Not play video,Not play audio,-0.06849049,0.02826019,0.01827847
10:18:43,665,Not play video,Not play audio,-0.06996196,0.02647821,0.01994956
10:18:43,679,Not play video,Not play audio,-0.06982218,0.02560342,0.01943458
10:18:43,693,Not play video,Not play audio,-0.06930838,0.02480214,0.01936398
10:18:43,721,Not play video,Not play audio,-0.06724624,0.02356436,0.01844429
10:18:43,735,Not play video,Not play audio,-0.06589729,0.02289717,0.01761883
10:18:43,762,Not play video,Not play audio,-0.06260277,0.02143483,0.01670784
10:18:43,776,Not play video,Not play audio,-0.06109074,0.02120656,0.01591513
10:18:43,804,Not play video,Not play audio,-0.0587419,0.02113954,0.01492208
10:18:43,818,Not play video,Not play audio,-0.05798803,0.02119793,0.01472968
10:18:43,832,Not play video,Not play audio,-0.05817239,0.0216422,0.01460511
10:18:43,860,Not play video,Not play audio,-0.05983007,0.02224941,0.01435457
10:18:43,873,Not play video,Not play audio,-0.06021202,0.02272807,0.01418283
10:18:43,901,Not play video,Not play audio,-0.06086975,0.02357957,0.01347307
10:18:43,915,Not play video,Not play audio,-0.06107461,0.02434511,0.0130481
10:18:43,943,Not play video,Not play audio,-0.06179566,0.02559007,0.01228172
10:18:43,957,Not play video,Not play audio,-0.06224327,0.02608369,0.01155243
10:18:43,984,Not play video,Not play audio,-0.06282462,0.02675936,0.009184613
10:18:43,999,Not play video,Not play audio,-0.06253661,0.02705801,0.007877779
10:18:44,11,Not play video,Not play audio,-0.06235721,0.02751918,0.00672056
10:18:44,40,Not play video,Not play audio,-0.06187116,0.02870366,0.004650265
10:18:44,54,Not play video,Not play audio,-0.06164083,0.02944582,0.00412309
10:18:44,82,Not play video,Not play audio,-0.06129566,0.03097417,0.004116261
10:18:44,95,Not play video,Not play audio,-0.06121318,0.03177549,0.00414073
10:18:44,123,Not play video,Not play audio,-0.06074185,0.0337411,0.003698732
10:18:44,137,Not play video,Not play audio,-0.06061184,0.03495549,0.003716425
10:18:44,165,Not play video,Not play audio,-0.06055454,0.0375702,0.004459064
10:18:44,179,Not play video,Not play audio,-0.06097813,0.03866205,0.005267176
10:18:44,193,Not play video,Not play audio,-0.06153452,0.03930337,0.006157121
10:18:44,220,Not play video,Not play audio,-0.0630663,0.0389863,0.008045631
10:18:44,235,Not play video,Not play audio,-0.06363733,0.03828786,0.008672469
10:18:44,263,Not play video,Not play audio,-0.06450927,0.03662173,0.009117996
10:18:44,276,Not play video,Not play audio,-0.06498839,0.03574035,0.009014092
10:18:44,304,Not play video,Not play audio,-0.06601071,0.0343128,0.008545145
10:18:44,318,Not play video,Not play audio,-0.06688616,0.03370519,0.008287307
10:18:44,331,Not play video,Not play audio,-0.06757899,0.03329388,0.008051867
10:18:44,359,Not play video,Not play audio,-0.06785183,0.03347533,0.006096838
10:18:44,373,Not play video,Not play audio,-0.0676202,0.03386277,0.004768044
10:18:44,402,Not play video,Not play audio,-0.06723806,0.03502698,0.002532904
10:18:44,416,Not play video,Not play audio,-0.06710289,0.03545404,0.002147564
10:18:44,432,Not play video,Not play audio,-0.06666175,0.03584861,0.002174166
10:18:44,460,Not play video,Not play audio,-0.06565903,0.03583244,0.003332512
10:18:44,474,Not play video,Not play audio,-0.06540782,0.0354201,0.003917248
10:18:44,505,Not play video,Not play audio,-0.06699817,0.03251072,0.004911674
10:18:44,520,Not play video,Not play audio,-0.06816297,0.03099568,0.00392685
