Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:38.250,0,0,0
2024-03-13 19:13:38.254,0,0,0
2024-03-13 19:13:38.259,0,0,0
2024-03-13 19:13:38.263,0,0,0
2024-03-13 19:13:38.265,0,0,0
2024-03-13 19:13:38.267,0,0,0
2024-03-13 19:13:38.271,0,0,0
2024-03-13 19:13:38.272,0,0,0
2024-03-13 19:13:38.274,0,0,0
2024-03-13 19:13:38.278,0,0,0
2024-03-13 19:13:38.282,0,0,0
2024-03-13 19:13:38.284,0,0,0
2024-03-13 19:13:38.286,0,0,0
2024-03-13 19:13:38.289,0,0,0
2024-03-13 19:13:38.291,0,0,0
2024-03-13 19:13:38.294,0,0,0
2024-03-13 19:13:38.296,0,0,0
2024-03-13 19:13:38.299,0,0,0
2024-03-13 19:13:38.301,0,0,0
2024-03-13 19:13:38.304,0,0,0
2024-03-13 19:13:38.306,0,0,0
2024-03-13 19:13:38.309,0,0,0
2024-03-13 19:13:38.311,0,0,0
2024-03-13 19:13:38.314,0,0,0
2024-03-13 19:13:38.316,0,0,0
2024-03-13 19:13:38.319,0,0,0
2024-03-13 19:13:38.321,0,0,0
2024-03-13 19:13:38.322,0,0,0
2024-03-13 19:13:38.326,0,0,0
2024-03-13 19:13:38.328,0,0,0
2024-03-13 19:13:38.330,0,0,0
2024-03-13 19:13:38.333,0,0,0
2024-03-13 19:13:38.335,0,0,0
2024-03-13 19:13:38.338,0,0,0
2024-03-13 19:13:38.341,0,0,0
2024-03-13 19:13:38.344,0,0,0
2024-03-13 19:13:38.346,0,0,0
2024-03-13 19:13:38.348,0,0,0
2024-03-13 19:13:38.351,0,0,0
2024-03-13 19:13:38.353,0,0,0
2024-03-13 19:13:38.356,0,0,0
2024-03-13 19:13:38.359,0,0,0
2024-03-13 19:13:38.361,0,0,0
2024-03-13 19:13:38.364,0,0,0
2024-03-13 19:13:38.367,0,0,0
2024-03-13 19:13:38.369,0,0,0
2024-03-13 19:13:38.372,0,0,0
2024-03-13 19:13:38.374,0,0,0
2024-03-13 19:13:38.376,0,0,0
2024-03-13 19:13:38.379,0,0,0
2024-03-13 19:13:38.382,0,0,0
2024-03-13 19:13:38.385,0,0,0
2024-03-13 19:13:38.387,0,0,0
2024-03-13 19:13:38.390,0,0,0
2024-03-13 19:13:38.392,0,0,0
2024-03-13 19:13:38.395,0,0,0
2024-03-13 19:13:38.398,0,0,0
2024-03-13 19:13:38.401,0,0,0
2024-03-13 19:13:38.404,0,0,0
2024-03-13 19:13:38.407,0,0,0
2024-03-13 19:13:38.409,0,0,0
2024-03-13 19:13:38.411,0,0,0
2024-03-13 19:13:38.414,0,0,0
2024-03-13 19:13:38.417,0,0,0
2024-03-13 19:13:38.421,0,0,0
2024-03-13 19:13:38.424,0,0,0
2024-03-13 19:13:38.426,0,0,0
2024-03-13 19:13:38.429,0,0,0
2024-03-13 19:13:38.432,0,0,0
2024-03-13 19:13:38.435,0,0,0
2024-03-13 19:13:38.438,0,0,0
2024-03-13 19:13:38.440,0,0,0
2024-03-13 19:13:38.443,0,0,0
2024-03-13 19:13:38.445,0,0,0
2024-03-13 19:13:38.449,0,0,0
2024-03-13 19:13:38.452,0,0,0
2024-03-13 19:13:38.454,0,0,0
2024-03-13 19:13:38.457,0,0,0
2024-03-13 19:13:38.460,0,0,0
2024-03-13 19:13:38.464,0,0,0
2024-03-13 19:13:38.467,0,0,0
2024-03-13 19:13:38.469,0,0,0
2024-03-13 19:13:38.472,0,0,0
2024-03-13 19:13:38.475,0,0,0
2024-03-13 19:13:38.477,0,0,0
2024-03-13 19:13:38.481,0,0,0
2024-03-13 19:13:38.485,0,0,0
2024-03-13 19:13:38.487,0,0,0
2024-03-13 19:13:38.489,0,0,0
2024-03-13 19:13:38.493,0,0,0
2024-03-13 19:13:38.495,0,0,0
2024-03-13 19:13:38.499,0,0,0
2024-03-13 19:13:38.502,0,0,0
2024-03-13 19:13:38.504,0,0,0
2024-03-13 19:13:38.507,0,0,0
2024-03-13 19:13:38.510,0,0,0
2024-03-13 19:13:38.513,0,0,0
2024-03-13 19:13:38.515,0,0,0
2024-03-13 19:13:38.517,0,0,0
2024-03-13 19:13:38.521,0,0,0
2024-03-13 19:13:38.524,0,0,0
2024-03-13 19:13:38.528,0,0,0
2024-03-13 19:13:38.531,0,0,0
2024-03-13 19:13:38.533,0,0,0
2024-03-13 19:13:38.536,0,0,0
2024-03-13 19:13:38.539,0,0,0
2024-03-13 19:13:38.541,0,0,0
2024-03-13 19:13:38.545,0,0,0
2024-03-13 19:13:38.548,0,0,0
2024-03-13 19:13:38.550,0,0,0
2024-03-13 19:13:38.553,0,0,0
2024-03-13 19:13:38.555,0,0,0
2024-03-13 19:13:38.558,0,0,0
2024-03-13 19:13:38.561,0,0,0
2024-03-13 19:13:38.564,0,0,0
2024-03-13 19:13:38.567,0,0,0
2024-03-13 19:13:38.569,0,0,0
2024-03-13 19:13:38.572,0,0,0
2024-03-13 19:13:38.574,0,0,0
2024-03-13 19:13:38.578,0,0,0
2024-03-13 19:13:38.580,0,0,0
2024-03-13 19:13:38.581,0,0,0
2024-03-13 19:13:38.585,0,0,0
2024-03-13 19:13:38.586,0,0,0
2024-03-13 19:13:38.590,0,0,0
2024-03-13 19:13:38.592,0,0,0
2024-03-13 19:13:38.596,0,0,0
2024-03-13 19:13:38.599,0,0,0
2024-03-13 19:13:38.601,0,0,0
2024-03-13 19:13:38.605,0,0,0
2024-03-13 19:13:38.608,0,0,0
2024-03-13 19:13:38.610,0,0,0
2024-03-13 19:13:38.613,0,0,0
2024-03-13 19:13:38.615,0,0,0
2024-03-13 19:13:38.618,0,0,0
2024-03-13 19:13:38.622,0,0,0
2024-03-13 19:13:38.625,0,0,0
2024-03-13 19:13:38.627,0,0,0
2024-03-13 19:13:38.629,0,0,0
2024-03-13 19:13:38.632,0,0,0
2024-03-13 19:13:38.634,0,0,0
2024-03-13 19:13:38.638,0,0,0
2024-03-13 19:13:38.641,0,0,0
2024-03-13 19:13:38.644,0,0,0
2024-03-13 19:13:38.646,0,0,0
2024-03-13 19:13:38.648,0,0,0
2024-03-13 19:13:38.652,0,0,0
2024-03-13 19:13:38.655,0,0,0
2024-03-13 19:13:38.657,0,0,0
2024-03-13 19:13:38.661,0,0,0
2024-03-13 19:13:38.663,0,0,0
2024-03-13 19:13:38.666,0,0,0
2024-03-13 19:13:38.669,0,0,0
2024-03-13 19:13:38.671,0,0,0
2024-03-13 19:13:38.674,0,0,0
2024-03-13 19:13:38.677,0,0,0
2024-03-13 19:13:38.680,0,0,0
